region,date,daily_cases,daily_death,daily_hospitalization,daily_ICU,daily_test_completed
QC,2020-01-23,0,0,0,0,2
QC,2020-01-24,0,0,0,0,0
QC,2020-01-25,0,0,0,0,0
QC,2020-01-26,0,0,0,0,0
QC,2020-01-27,0,0,0,0,1
QC,2020-01-28,0,0,0,0,0
QC,2020-01-29,0,0,0,0,0
QC,2020-01-30,0,0,0,0,5
QC,2020-01-31,0,0,0,0,4
QC,2020-02-01,0,0,0,0,0
QC,2020-02-02,0,0,0,0,0
QC,2020-02-03,0,0,0,0,1
QC,2020-02-04,0,0,0,0,0
QC,2020-02-05,0,0,0,0,1
QC,2020-02-06,0,0,0,0,0
QC,2020-02-07,0,0,0,0,3
QC,2020-02-08,0,0,0,0,0
QC,2020-02-09,0,0,0,0,0
QC,2020-02-10,0,0,0,0,10
QC,2020-02-11,0,0,0,0,6
QC,2020-02-12,0,0,0,0,2
QC,2020-02-13,0,0,0,0,1
QC,2020-02-14,0,0,0,0,3
QC,2020-02-15,0,0,0,0,0
QC,2020-02-16,0,0,0,0,0
QC,2020-02-17,0,0,0,0,8
QC,2020-02-18,0,0,0,0,0
QC,2020-02-19,0,0,0,0,6
QC,2020-02-20,0,0,0,0,1
QC,2020-02-21,0,0,0,0,2
QC,2020-02-22,0,0,0,0,0
QC,2020-02-23,0,0,0,0,0
QC,2020-02-24,0,0,0,0,6
QC,2020-02-25,0,0,0,0,9
QC,2020-02-26,0,0,0,0,24
QC,2020-02-27,0,0,0,0,13
QC,2020-02-28,0,0,0,0,19
QC,2020-02-29,0,0,0,0,19
QC,2020-03-01,0,0,0,0,24
QC,2020-03-02,0,0,0,0,14
QC,2020-03-03,0,0,0,0,11
QC,2020-03-04,0,0,0,0,28
QC,2020-03-05,0,0,0,0,29
QC,2020-03-06,0,0,0,0,49
QC,2020-03-07,1,0,0,0,40
QC,2020-03-08,0,0,0,0,34
QC,2020-03-09,0,0,0,0,63
QC,2020-03-10,0,0,0,0,129
QC,2020-03-11,0,0,0,0,211
QC,2020-03-12,2,0,0,0,335
QC,2020-03-13,2,0,0,0,276
QC,2020-03-14,1,0,0,0,659
QC,2020-03-15,1,0,0,0,770
QC,2020-03-16,2,0,0,0,1082
QC,2020-03-17,5,1,0,0,1402
QC,2020-03-18,4,1,0,0,1472
QC,2020-03-19,8,1,0,0,3035
QC,2020-03-20,48,1,0,0,3563
QC,2020-03-21,75,0,0,0,4218
QC,2020-03-22,139,1,0,0,3829
QC,2020-03-23,171,0,0,0,4772
QC,2020-03-24,258,3,0,0,3766
QC,2020-03-25,220,2,0,0,5256
QC,2020-03-26,249,8,0,0,5958
QC,2020-03-27,343,9,0,0,6360
QC,2020-03-28,433,3,0,0,5923
QC,2020-03-29,402,14,0,0,7248
QC,2020-03-30,499,10,0,0,8007
QC,2020-03-31,603,13,0,0,7231
QC,2020-04-01,751,16,0,0,6288
QC,2020-04-02,573,16,0,0,6761
QC,2020-04-03,714,22,0,0,7009
QC,2020-04-04,611,38,0,0,4959
QC,2020-04-05,623,44,0,0,3590
QC,2020-04-06,506,48,0,0,4442
QC,2020-04-07,611,51,0,0,5110
QC,2020-04-08,820,57,0,0,4422
QC,2020-04-09,553,58,0,0,5348
QC,2020-04-10,807,67,0,0,5045
QC,2020-04-11,563,68,758,146,5245
QC,2020-04-12,652,70,32,10,6064
QC,2020-04-13,819,88,40,10,6918
QC,2020-04-14,859,95,61,-5,6550
QC,2020-04-15,1051,92,36,29,6286
QC,2020-04-16,882,99,48,-3,6120
QC,2020-04-17,861,93,43,9,5815
QC,2020-04-18,833,88,54,-3,5335
QC,2020-04-19,686,99,28,-10,4908
QC,2020-04-20,656,125,68,15,4794
QC,2020-04-21,699,103,55,3,5312
QC,2020-04-22,668,115,53,-2,6592
QC,2020-04-23,795,118,134,8,6345
QC,2020-04-24,741,116,50,20,6361
QC,2020-04-25,775,114,45,-19,6086
QC,2020-04-26,675,125,11,-4,5703
QC,2020-04-27,603,110,22,6,5328
QC,2020-04-28,690,117,81,7,6441
QC,2020-04-29,807,138,26,5,7111
QC,2020-04-30,847,153,32,-9,6942
QC,2020-05-01,810,120,32,5,7509
QC,2020-05-02,844,139,22,4,6767
QC,2020-05-03,757,114,17,-6,5957
QC,2020-05-04,731,98,17,1,4965
QC,2020-05-05,569,110,52,1,7255
QC,2020-05-06,844,100,17,-5,8068
QC,2020-05-07,876,95,-7,9,7836
QC,2020-05-08,788,94,-5,-16,8167
QC,2020-05-09,692,90,4,-3,7519
QC,2020-05-10,606,97,-1,-5,7356
QC,2020-05-11,669,93,7,-6,6334
QC,2020-05-12,560,97,2,-8,8464
QC,2020-05-13,629,82,32,10,9137
QC,2020-05-14,679,66,-37,-4,10009
QC,2020-05-15,714,86,-11,1,10320
QC,2020-05-16,693,84,-30,-6,10678
QC,2020-05-17,732,79,-26,-3,8533
QC,2020-05-18,623,66,0,-6,6757
QC,2020-05-19,541,69,15,2,8982
QC,2020-05-20,628,58,-235,5,10135
QC,2020-05-21,658,72,-42,-8,11780
QC,2020-05-22,653,59,-24,-4,12167
QC,2020-05-23,510,69,-27,-4,12086
QC,2020-05-24,501,64,-17,3,10830
QC,2020-05-25,540,64,-9,9,7181
QC,2020-05-26,355,59,-22,2,10066
QC,2020-05-27,394,65,-27,1,12087
QC,2020-05-28,411,59,-47,-5,12031
QC,2020-05-29,383,78,-68,-6,11890
QC,2020-05-30,382,60,-67,-6,11601
QC,2020-05-31,365,41,1,5,8368
